SOD,pass,X,Y,Z,dX_mm,dY_mm,dZ_mm,3D_mm,N,ZTD_m
60.0,FWD,1337926.8726,6070326.2970,1427866.4505,-8669.370,+9209.000,-11043.450,16790.517,8,2.0601
90.0,FWD,1337926.8648,6070326.4887,1427866.4094,-8677.216,+9400.731,-11084.588,16927.371,8,2.0374
120.0,FWD,1337926.3905,6070326.6731,1427865.6924,-9151.480,+9585.108,-11801.634,17745.491,8,2.0924
150.0,FWD,1337926.3299,6070327.2450,1427865.4943,-9212.073,+10156.966,-11999.724,18221.406,8,1.9348
180.0,FWD,1337926.4067,6070327.0067,1427865.8276,-9135.313,+9918.683,-11666.410,17830.853,8,1.9484
210.0,FWD,1337925.5084,6070323.4024,1427864.9502,-10033.590,+6314.410,-12543.796,17259.535,8,3.6325
240.0,FWD,1337924.1469,6070318.6743,1427863.5376,-11395.060,+1586.350,-13956.446,18087.185,8,5.8356
86190.0,BWD,1337925.8581,6070324.0449,1427864.6208,-9683.933,+6956.915,-12873.163,17546.953,8,3.0910
86220.0,BWD,1337926.6035,6070327.3598,1427865.3693,-8938.521,+10271.779,-12124.729,18232.270,8,1.7434
86250.0,BWD,1337926.5548,6070327.6049,1427865.2156,-8987.155,+10516.891,-12278.409,18496.845,8,1.7765
86280.0,BWD,1337926.3997,6070327.4993,1427864.7337,-9142.259,+10411.282,-12760.278,18836.146,8,1.8551
86310.0,BWD,1337926.6328,6070327.5270,1427864.9296,-8909.181,+10439.022,-12564.366,18606.719,8,1.8299
86340.0,BWD,1337927.2249,6070326.7581,1427865.3372,-8317.094,+9670.066,-12156.840,17620.243,8,2.0021
